id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,旭江华庭,滨江区,奥体,近地铁6号线 奥体中心站,260,17995元/平米,2018-10-22,商品房,2018-04-18,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190530782421,"
2室2厅2厨2卫
                                                  ","
低楼层 (共26层)
                                                  ","
144.49㎡
                                                  ","
平层
                                                  ","
137.99㎡
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
五梯十八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
2,中兴和园,滨江区,彩虹城,,240,29452元/平米,2023-02-20,商品房,2016-10-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,230228CB537892,"
2室1厅1厨1卫
                                                  ","
低楼层 (共11层)
                                                  ","
81.49㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,臻奥院,滨江区,奥体,近地铁6号线 奥体中心站,235,38362元/平米,2024-09-11,商品房,2021-07-09,商住两用,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,240911OT162135,"
2室1厅1厨1卫
                                                  ","
中楼层 (共23层)
                                                  ","
61.26㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
西南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
四梯二十六户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
4,钱江湾花园,滨江区,浦沿,,210,34264元/平米,2025-04-01,商品房,2018-03-06,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,250326LW371571,"
2室1厅1厨1卫
                                                  ","
低楼层 (共16层)
                                                  ","
61.29㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯七户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,江南文苑,滨江区,浦沿,,260,37384元/平米,2025-01-03,商品房,2012-11-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190612088888,"
2室1厅1厨1卫
                                                  ","
低楼层 (共11层)
                                                  ","
69.55㎡
                                                  ","
平层
                                                  ","
58.71㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,龙禧大酒店,滨江区,彩虹城,近地铁6号线(杭富线)伟业路站,315,27874元/平米,2023-11-08,商品房,2018-07-13,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,180225288822,"
2室1厅1厨1卫
                                                  ","
中楼层 (共28层)
                                                  ","
113.01㎡
                                                  ","
平层
                                                  ","
80.17㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯十四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
7,浙新小区,滨江区,浦沿,,208,36466元/平米,2025-01-20,商品房,2022-11-10,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,221024GS385869,"
2室1厅1厨1卫
                                                  ","
低楼层 (共22层)
                                                  ","
57.04㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,铂金名筑,滨江区,长河,近地铁5号线聚才路站,275,33951元/平米,2025-03-11,商品房,2016-05-18,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,181227498712,"
2室2厅1厨1卫
                                                  ","
高楼层 (共27层)
                                                  ","
81㎡
                                                  ","
平层
                                                  ","
63.1㎡
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
9,春波南苑,滨江区,长河,近1号线(萧山国际机场-湘湖)西兴站,280,32803元/平米,2025-04-24,商品房,2024-04-17,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,250425SV385059,"
2室2厅1厨1卫
                                                  ","
中楼层 (共18层)
                                                  ","
85.36㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,旭江华庭,滨江区,奥体,近地铁6号线 奥体中心站,150,22439元/平米,2025-04-07,商品房,2018-03-21,商住两用,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,190614321410,"
1室1厅1厨1卫
                                                  ","
高楼层 (共26层)
                                                  ","
66.85㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
五梯十七户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
11,贺田尚城,滨江区,浦沿,,330,36884元/平米,2024-03-13,商品房,2017-07-03,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,210419FR765384,"
2室1厅1厨1卫
                                                  ","
低楼层 (共11层)
                                                  ","
89.47㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
一梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
12,南岸晶都花园,滨江区,长河,近地铁5号线聚才路站,196,33300元/平米,2023-03-02,商品房,2020-09-09,普通住宅,满两年,非共有,"
                                有抵押 120万元 业主自还
                              ",已上传房本照片,190715670498,"
2室1厅1厨1卫
                                                  ","
高楼层 (共26层)
                                                  ","
58.86㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯十户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
13,中兴花园百合苑,滨江区,滨江区政府,近地铁6号线(杭富线)江汉路站,330,42841元/平米,2025-03-03,商品房,2016-03-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250303ZG249967,"
2室2厅1厨1卫
                                                  ","
高楼层 (共11层)
                                                  ","
77.03㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
一梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
14,通策广场,滨江区,彩虹城,近地铁6号线(杭富线)伟业路站,439,44596元/平米,2023-12-07,商品房,2008-05-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,231207NG049012,"
2室2厅1厨1卫
                                                  ","
中楼层 (共10层)
                                                  ","
98.44㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
15,拾排里125号,滨江区,长河,近地铁5号线聚才路站,245,34190元/平米,2024-12-09,商品房,2023-05-29,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210227KD938458,"
2室2厅1厨1卫
                                                  ","
低楼层 (共6层)
                                                  ","
71.66㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
16,固陵路,滨江区,西兴,近地铁5号线滨康路站,210,35818元/平米,2022-05-23,商品房,2017-07-18,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,170603204714,"
2室1厅1厨1卫
                                                  ","
中楼层 (共6层)
                                                  ","
58.63㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 西
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
17,旭江华庭,滨江区,奥体,近地铁6号线 奥体中心站,195,32538元/平米,2023-10-09,商品房,2018-03-26,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200906TO210851,"
1室1厅1厨1卫
                                                  ","
高楼层 (共26层)
                                                  ","
59.93㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
东
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
五梯二十户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
18,金盛曼城,滨江区,浦沿,近地铁4号线浦沿站,300,35241元/平米,2024-12-11,商品房,2020-04-20,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,190926712138,"
2室2厅1厨1卫
                                                  ","
高楼层 (共27层)
                                                  ","
85.13㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
19,六眼井,滨江区,西兴,近1号线(萧山国际机场-湘湖)西兴站,175,33628元/平米,2024-10-10,商品房,2015-05-21,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,241014HO971790,"
2室1厅1厨1卫
                                                  ","
中楼层 (共5层)
                                                  ","
52.04㎡
                                                  ","
平层
                                                  ","
52.04㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
20,固陵路,滨江区,西兴,近地铁5号线滨康路站,195,33937元/平米,2024-09-28,商品房,2023-03-06,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,221113MK318171,"
2室1厅1厨1卫
                                                  ","
中楼层 (共6层)
                                                  ","
57.46㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
21,西兴街,滨江区,西兴,近1号线(萧山国际机场-湘湖)西兴站,155,26706元/平米,2025-01-21,商品房,2008-07-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190901294136,"
2室1厅1厨1卫
                                                  ","
中楼层 (共5层)
                                                  ","
58.04㎡
                                                  ","
平层
                                                  ","
55㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
框架结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
22,欣盛东方郡,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,419,47016元/平米,2025-03-07,商品房,2012-06-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250307PI142073,"
2室2厅1厨1卫
                                                  ","
中楼层 (共32层)
                                                  ","
89.12㎡
                                                  ","
平层
                                                  ","
69.78㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
23,星耀中心,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,200,33401元/平米,2024-08-20,商品房,2019-04-20,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,240704YJ457635,"
2室2厅1厨2卫
                                                  ","
高楼层 (共27层)
                                                  ","
59.88㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
七梯二十八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  "
24,茂御居,滨江区,彩虹城,近地铁4号线联庄站,135,21002元/平米,2021-11-24,商品房,2018-08-23,商住两用,满五年,非共有,"
                                有抵押 79万元 北京银行 客户偿还
                              ",已上传房本照片,180906371570,"
2室1厅1厨1卫
                                                  ","
高楼层 (共18层)
                                                  ","
64.28㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
四梯十八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
未知
                                                  ","
未知
                                                  "
25,星耀中心,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,220,37226元/平米,2021-01-11,商品房,2020-07-23,商住两用,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210113TU538487,"
2室2厅2厨2卫
                                                  ","
高楼层 (共27层)
                                                  ","
59.1㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
西北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
七梯二十八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  "
26,东和云第,滨江区,浦沿,近地铁4号线浦沿站,280,31768元/平米,2024-11-18,商品房,2015-03-31,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,221125PD642774,"
2室1厅1厨1卫
                                                  ","
高楼层 (共32层)
                                                  ","
88.14㎡
                                                  ","
平层
                                                  ","
63.17㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
27,寰宇天下C区,滨江区,滨江区政府,近地铁6号线江陵路站,560,62774元/平米,2023-12-10,商品房,2016-02-22,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,240227JE399999,"
2室2厅1厨1卫
                                                  ","
中楼层 (共34层)
                                                  ","
89.21㎡
                                                  ","
平层
                                                  ","
69.72㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
28,瑞立中央花城,滨江区,滨江区政府,,276,51197元/平米,2025-03-09,商品房,2009-02-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,250311NI673163,"
1室1厅1厨1卫
                                                  ","
低楼层 (共31层)
                                                  ","
53.91㎡
                                                  ","
平层
                                                  ","
40.06㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
29,钱江湾花园,滨江区,浦沿,,295,38352元/平米,2025-01-09,商品房,2016-08-05,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,180818584431,"
2室2厅1厨1卫
                                                  ","
低楼层 (共16层)
                                                  ","
76.92㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
30,滨兴小区西区,滨江区,长河,近地铁6号线(杭富线)长河站,340,36267元/平米,2024-05-29,商品房,2020-08-21,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,200510817066,"
2室2厅1厨1卫
                                                  ","
中楼层 (共6层)
                                                  ","
93.75㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
一梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
31,缤纷小区,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,240,46875元/平米,2023-02-16,商品房,2020-02-16,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,200413241115,"
2室1厅1厨1卫
                                                  ","
中楼层 (共7层)
                                                  ","
51.2㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
一梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
32,迎春南苑,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,229,43029元/平米,2024-09-02,商品房,2024-03-11,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,230905QJ685745,"
2室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
53.22㎡
                                                  ","
平层
                                                  ","
43.92㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
