id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,云水山居,富阳区,银湖科技城,,139,10434元/平米,2024-09-16,商品房,2020-10-13,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,200926FE530776,"
4室1厅1厨2卫
                                                  ","
中楼层 (共11层)
                                                  ","
133.22㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
2,金汇之城,富阳区,富春,近地铁6号线(杭富线)公望街站,53,15461元/平米,2023-12-01,商品房,2022-07-08,商住两用,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,240112QB113443,"
1室1厅0厨1卫
                                                  ","
高楼层 (共14层)
                                                  ","
34.28㎡
                                                  ","
复式
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯二十户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
未知
                                                  ","
未知
                                                  "
3,金汇之城,富阳区,富春,近地铁6号线(杭富线)公望街站,65,14756元/平米,2024-11-11,商品房,2022-01-04,商住两用,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,241112LO894763,"
2室2厅1厨1卫
                                                  ","
低楼层 (共14层)
                                                  ","
44.05㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯二十户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
4,绿城云栖桃花源,富阳区,银湖科技城,,750,32540元/平米,2022-11-14,商品房,2021-05-08,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,211223LI202698,"
6室1厅1厨4卫
                                                  ","
低楼层 (共3层)
                                                  ","
230.49㎡
                                                  ","
跃层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
一梯十二户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,瑞源邸,富阳区,银湖科技城,,190,20317元/平米,2024-03-18,商品房,2024-03-15,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,240319TX792720,"
3室2厅1厨1卫
                                                  ","
低楼层 (共13层)
                                                  ","
93.52㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,鹳山社区达夫路,富阳区,富春,,100,16540元/平米,2023-06-26,商品房,2020-01-19,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,191219373976,"
2室2厅1厨1卫
                                                  ","
高楼层 (共5层)
                                                  ","
60.46㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
7,中天富春诚品,富阳区,富春,近地铁6号线(杭富线)公望街站,200,16663元/平米,2023-06-13,商品房,2019-09-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,230706XD293736,"
4室2厅1厨2卫
                                                  ","
低楼层 (共18层)
                                                  ","
120.03㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
北 南
                                                  ","
框架结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
8,文华苑人才公寓,富阳区,富春,近地铁6号线(杭富线)公望街站,235,18983元/平米,2023-05-15,商品房,2016-05-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,230516AN854672,"
3室2厅1厨2卫
                                                  ","
低楼层 (共12层)
                                                  ","
123.8㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
9,金都铭苑,富阳区,富春,近地铁6号线(杭富线)桂花西路站,299,20958元/平米,2022-05-12,商品房,2017-10-20,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,220402GN895250,"
3室2厅1厨2卫
                                                  ","
低楼层 (共18层)
                                                  ","
142.67㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
10,九龙仓雍景山,富阳区,银湖科技城,,315,25162元/平米,2024-08-20,商品房,2020-08-26,普通住宅,满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,241115TQ383642,"
4室2厅1厨2卫
                                                  ","
低楼层 (共5层)
                                                  ","
125.19㎡
                                                  ","
复式
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
