id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,流水东苑,拱墅区,流水苑,,178,27356元/平米,2024-12-29,商品房,1996-01-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,200701683599,"
2室1厅1厨1卫
                                                  ","
中楼层 (共7层)
                                                  ","
65.07㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
2,万家星城二期,拱墅区,三塘,近地铁4号线新天地街站,560,42583元/平米,2024-02-27,商品房,2013-02-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,240626MB422436,"
3室2厅1厨2卫
                                                  ","
高楼层 (共20层)
                                                  ","
131.51㎡
                                                  ","
平层
                                                  ","
102.36㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
框架结构
                                                  ","
毛坯
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,湖墅新村,拱墅区,信义坊,近3号线(星桥-吴山前村) 香积寺站,230,35347元/平米,2025-02-14,商品房,2002-07-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250214IM605719,"
2室1厅1厨1卫
                                                  ","
中楼层 (共7层)
                                                  ","
65.07㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 西
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
4,滨江芳翠锦绣府,拱墅区,三塘,近地铁4号线新天地街站,998,59490元/平米,2025-03-29,商品房,2025-03-29,普通住宅,未满两年,共有,"
                                有抵押 1万元
                              ",已上传房本照片,250329AY794514,"
4室2厅1厨3卫
                                                  ","
低楼层 (共17层)
                                                  ","
167.76㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,联发北秀观云,拱墅区,半山,近地铁4号线 吴家角港站,293,31025元/平米,2024-12-15,商品房,2023-05-26,普通住宅,未满两年,共有,"
                                有抵押 1万元
                              ",已上传房本照片,241215LY139265,"
3室2厅1厨2卫
                                                  ","
低楼层 (共26层)
                                                  ","
94.44㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯六户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,珠碧苑,拱墅区,潮鸣,近地铁5号线万安桥站,165,32214元/平米,2025-04-12,商品房,2010-01-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,250412YI109798,"
2室1厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
51.22㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
7,杭曜置地中心一区,拱墅区,和睦,近地铁5号线和睦站,657,55392元/平米,2025-03-24,商品房,2025-03-24,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,250324ER035352,"
3室2厅1厨2卫
                                                  ","
中楼层 (共25层)
                                                  ","
118.61㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,孩儿巷,拱墅区,武林,近1号线(萧山国际机场-湘湖)凤起路站,200,39002元/平米,2025-03-23,已购公房,2024-11-22,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,181127999219,"
2室2厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
51.28㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
9,名城公馆,拱墅区,桥西,近地铁5号线大运河站,545,55129元/平米,2025-04-26,商品房,2016-05-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250426MI112109,"
3室2厅1厨1卫
                                                  ","
高楼层 (共16层)
                                                  ","
98.86㎡
                                                  ","
平层
                                                  ","
79.64㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,天阳美林湾,拱墅区,申花,近地铁2号线三墩站,300,27655元/平米,2025-03-20,商品房,2019-09-03,普通住宅,满五年,非共有,"
                                有抵押 200万元 业主自还
                              ",已上传房本照片,250321RP452884,"
3室2厅1厨1卫
                                                  ","
中楼层 (共11层)
                                                  ","
108.48㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
