id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,东海水景城,临平区,临平新城,,90,18405元/平米,2024-03-31,商品房,2016-06-06,普通住宅,满五年,共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,240407LK445616,"
1室0厅1厨1卫
                                                  ","
低楼层 (共32层)
                                                  ","
48.9㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
西南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
四梯二十三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
2,水岸锦城,临平区,塘栖,,235,14472元/平米,2023-07-05,商品房,2021-08-19,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,230705EE192848,"
4室2厅1厨2卫
                                                  ","
低楼层 (共9层)
                                                  ","
162.39㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
3,阳光绿色雅苑,临平区,乔司,近9号线乔司站,240,28784元/平米,2023-06-20,商品房,2018-04-26,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,230625VD304925,"
3室2厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
83.38㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
4,滨沁公寓,临平区,星桥,,215,24109元/平米,2024-02-28,商品房,2020-11-23,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,240229ML758910,"
3室2厅1厨1卫
                                                  ","
低楼层 (共24层)
                                                  ","
89.18㎡
                                                  ","
平层
                                                  ","
69.05㎡
                                                  ","
板楼
                                                  ","
东南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,九龙仓君廷,临平区,塘栖,,142,16264元/平米,2024-02-23,商品房,2016-02-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,220506SF988436,"
2室1厅1厨1卫
                                                  ","
高楼层 (共33层)
                                                  ","
87.31㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
西南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,锦昌年华,临平区,崇贤,,190,18957元/平米,2024-08-27,商品房,2013-08-19,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,241201KP254163,"
3室2厅1厨1卫
                                                  ","
中楼层 (共15层)
                                                  ","
100.23㎡
                                                  ","
平层
                                                  ","
78.6㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
7,钱江国际广场,临平区,塘栖,,32,6640元/平米,2024-05-14,商品房,2018-04-17,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,240519QZ873240,"
1室1厅1厨1卫
                                                  ","
中楼层 (共20层)
                                                  ","
48.2㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
四梯三十二户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  "
8,金都夏宫,临平区,东湖,,160,17910元/平米,2024-02-21,商品房,2019-09-03,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,190620917225,"
3室2厅1厨1卫
                                                  ","
低楼层 (共34层)
                                                  ","
89.34㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
9,赞成杭家,临平区,崇贤,,258,29209元/平米,2023-05-07,商品房,2017-11-30,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,230507AU729091,"
3室2厅1厨1卫
                                                  ","
高楼层 (共27层)
                                                  ","
88.33㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,朗诗未来街区,临平区,乔司,近9号线翁梅站,200,23533元/平米,2021-01-31,商品房,2018-08-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,180603896041,"
3室1厅1厨1卫
                                                  ","
中楼层 (共18层)
                                                  ","
84.99㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 东
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
