id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,龙湖滟澜山丽轩一期,钱塘区,金沙湖,近1号线(萧山国际机场-湘湖)金沙湖站,240,30327元/平米,2024-11-02,商品房,2016-03-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,200521328418,"
2室2厅1厨1卫
                                                  ","
中楼层 (共23层)
                                                  ","
79.14㎡
                                                  ","
平层
                                                  ","
63.93㎡
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
2,临江时代花苑,钱塘区,大江东,,90,10028元/平米,2025-01-01,商品房,2019-03-26,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,250104OW320697,"
3室2厅1厨1卫
                                                  ","
高楼层 (共16层)
                                                  ","
89.75㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
平房
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,四季广场,钱塘区,金沙湖,,85,14548元/平米,2023-02-24,商品房,2017-06-22,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,230224HI084831,"
2室1厅1厨1卫
                                                  ","
中楼层 (共23层)
                                                  ","
58.43㎡
                                                  ","
跃层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
四梯十四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  "
4,宋都晨光国际,钱塘区,沿江南,近1号线(萧山国际机场-湘湖)下沙江滨站,300,33475元/平米,2024-10-16,商品房,2014-11-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210606SC585769,"
3室1厅1厨1卫
                                                  ","
低楼层 (共29层)
                                                  ","
89.62㎡
                                                  ","
平层
                                                  ","
65.33㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
三梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,世茂江滨花园峻景湾,钱塘区,沿江南,,210,23533元/平米,2022-09-22,商品房,2013-03-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,220922JE470976,"
2室2厅1厨1卫
                                                  ","
低楼层 (共33层)
                                                  ","
89.24㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,至高钱塘一品,钱塘区,大江东,近8号线河庄路站,135,16051元/平米,2023-05-19,商品房,2017-12-21,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,191013052757,"
2室2厅1厨1卫
                                                  ","
低楼层 (共25层)
                                                  ","
84.11㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
7,龙湖滟澜山丽轩一期,钱塘区,金沙湖,近1号线(萧山国际机场-湘湖)金沙湖站,235,30386元/平米,2024-03-21,商品房,2012-11-22,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,220828VG021531,"
2室1厅1厨1卫
                                                  ","
中楼层 (共14层)
                                                  ","
77.34㎡
                                                  ","
平层
                                                  ","
62.48㎡
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,金沙湖1号,钱塘区,金沙湖,近1号线(萧山国际机场-湘湖)高沙路站,105,14558元/平米,2024-07-11,商品房,2014-09-11,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190315713819,"
2室2厅1厨2卫
                                                  ","
低楼层 (共19层)
                                                  ","
72.13㎡
                                                  ","
跃层
                                                  ","
48.81㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
四梯十七户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  "
9,东裕华庭,钱塘区,大江东,,85,9448元/平米,2024-03-26,商品房,2018-11-06,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,240327TM236490,"
3室2厅1厨2卫
                                                  ","
中楼层 (共32层)
                                                  ","
89.97㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
北 南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,朗诗国际街区,钱塘区,沿江北,近1号线(萧山国际机场-湘湖)云水站,165,20076元/平米,2023-07-23,商品房,2016-02-15,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,220417IJ449810,"
2室1厅1厨1卫
                                                  ","
低楼层 (共32层)
                                                  ","
82.19㎡
                                                  ","
跃层
                                                  ","
65.25㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
四梯二十户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
11,龙湖滟澜山丽轩一期,钱塘区,金沙湖,近1号线(萧山国际机场-湘湖)金沙湖站,260,33653元/平米,2022-04-26,商品房,2013-06-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210819US142238,"
2室1厅1厨1卫
                                                  ","
中楼层 (共10层)
                                                  ","
77.26㎡
                                                  ","
平层
                                                  ","
62.48㎡
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
12,阳光名城,钱塘区,大江东,近地铁7号线新镇路站,140,15560元/平米,2024-09-11,商品房,2021-09-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,240903MV062113,"
2室2厅1厨1卫
                                                  ","
中楼层 (共11层)
                                                  ","
89.98㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
