id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,金牛坊,上城区,采荷,近地铁2号线庆菱路站,440,50756元/平米,2024-06-02,商品房,2018-11-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,181015352426,"
2室1厅1厨1卫
                                                  ","
高楼层 (共27层)
                                                  ","
86.69㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
2,顺福商务中心,上城区,景芳,近地铁4号线景芳站,1000,33103元/平米,2024-12-13,商品房,2022-08-05,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,240822WR566226,"
4室1厅1厨3卫
                                                  ","
低楼层 (共19层)
                                                  ","
302.09㎡
                                                  ","
复式
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
未知结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
","
未知
                                                  ","
未知
                                                  "
3,滨江城市之星,上城区,钱江新城,,1600,57839元/平米,2022-04-02,商品房,2020-12-14,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,201215GK785726,"
4室2厅2厨3卫
                                                  ","
中楼层 (共43层)
                                                  ","
276.63㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
三梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
民水
                                                  ","
民电
                                                  ","
3.1元/m3
                                                  "
4,德信金泊林公寓,上城区,九堡,,280,31359元/平米,2022-10-17,商品房,2016-04-14,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,221022HP190074,"
3室2厅1厨1卫
                                                  ","
高楼层 (共11层)
                                                  ","
89.29㎡
                                                  ","
平层
                                                  ","
74.5㎡
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,雍泽府,上城区,七堡,近1号线(萧山国际机场-湘湖)七堡站,585,47273元/平米,2024-03-03,商品房,2018-03-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201121EY406851,"
4室2厅1厨2卫
                                                  ","
高楼层 (共17层)
                                                  ","
123.75㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,茂宸金座,上城区,华家池,,210,36282元/平米,2023-04-10,商品房,2019-09-11,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,230516HI829916,"
1室1厅1厨1卫
                                                  ","
高楼层 (共23层)
                                                  ","
57.88㎡
                                                  ","
平层
                                                  ","
43.07㎡
                                                  ","
板楼
                                                  ","
西
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
四梯二十户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
7,吟彩芳菲之城,上城区,丁桥,,270,27345元/平米,2022-11-14,商品房,2022-11-14,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,221115SX572385,"
2室2厅1厨1卫
                                                  ","
高楼层 (共18层)
                                                  ","
98.74㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,森仁里1-3号,上城区,清泰,近地铁5号线万安桥站,133,33110元/平米,2023-12-12,商品房,2021-12-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,200922WR997277,"
1室1厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
40.17㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
9,采荷小区青莼邨,上城区,采荷,,340,50800元/平米,2024-07-07,已购公房,2017-07-07,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,240708MB932920,"
3室1厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
66.93㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
10,栖江揽月轩,上城区,七堡,,1580,82100元/平米,2024-09-06,商品房,2024-09-06,普通住宅,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,240908FN692522,"
5室2厅1厨3卫
                                                  ","
中楼层 (共19层)
                                                  ","
192.45㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
11,云悦湾,上城区,七堡,近1号线(萧山国际机场-湘湖)七堡站,778,60110元/平米,2022-06-11,商品房,2022-04-23,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,231225JY108644,"
4室2厅1厨2卫
                                                  ","
高楼层 (共15层)
                                                  ","
129.43㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
12,十三湾巷,上城区,清波,近1号线(萧山国际机场-湘湖)定安路站,280,44040元/平米,2025-03-30,商品房,2017-03-28,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,220515GX901347,"
2室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
63.58㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
13,世茂东壹号,上城区,七堡,近1号线(萧山国际机场-湘湖)九和路站,380,43173元/平米,2025-02-17,商品房,2016-03-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250220PP479117,"
3室2厅1厨1卫
                                                  ","
低楼层 (共16层)
                                                  ","
88.02㎡
                                                  ","
平层
                                                  ","
69.85㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
14,在水一方公寓,上城区,近江,近1号线(萧山国际机场-湘湖)近江站,490,43673元/平米,2025-02-26,商品房,2004-07-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,250228CU777689,"
3室1厅1厨1卫
                                                  ","
中楼层 (共19层)
                                                  ","
112.2㎡
                                                  ","
平层
                                                  ","
89.99㎡
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
一梯六户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
15,采荷绿萍,上城区,南肖埠,,145,31250元/平米,2023-04-21,已购公房,2010-05-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,230420NB897270,"
2室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
46.4㎡
                                                  ","
平层
                                                  ","
42.29㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
16,丁桥兰苑,上城区,丁桥,,215,23082元/平米,2024-03-07,商品房,2018-08-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,240326HP151479,"
3室2厅1厨1卫
                                                  ","
低楼层 (共12层)
                                                  ","
93.15㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
一梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
17,蓝桥名苑,上城区,九堡,近1号线(萧山国际机场-湘湖)客运中心站,230,24324元/平米,2022-06-13,商品房,2017-06-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,220614JM767710,"
3室1厅1厨1卫
                                                  ","
高楼层 (共14层)
                                                  ","
94.56㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
一梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
18,北城枫景园,上城区,丁桥,近3号线(星桥-吴山前村) 华鹤街站,190,22898元/平米,2023-04-06,商品房,2021-07-19,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210727LW372376,"
3室1厅1厨1卫
                                                  ","
中楼层 (共17层)
                                                  ","
82.98㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
19,龙湖名景台二期,上城区,丁桥,近3号线(星桥-吴山前村) 同协路站,610,44258元/平米,2024-04-03,商品房,2020-01-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,240331GP886016,"
4室2厅1厨2卫
                                                  ","
中楼层 (共16层)
                                                  ","
137.83㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
东南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
20,新城坊,上城区,近江,近1号线(萧山国际机场-湘湖)近江站,650,40025元/平米,2023-05-23,已购公房,2013-05-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,230524FM843332,"
4室2厅1厨2卫
                                                  ","
高楼层 (共7层)
                                                  ","
162.4㎡
                                                  ","
错层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
21,三里亭苑二区,上城区,三里亭,近地铁19号线 驿城路站,160,31105元/平米,2023-09-16,商品房,2016-01-07,普通住宅,满五年,共有,"
                                有抵押 120万元
                              ",已上传房本照片,230923TG986955,"
2室1厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
51.44㎡
                                                  ","
平层
                                                  ","
45.62㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
22,义井巷,上城区,城站,近地铁5号线江城路站,160,34446元/平米,2024-03-12,已购公房,2023-01-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,231012GT828938,"
1室1厅1厨1卫
                                                  ","
中楼层 (共7层)
                                                  ","
46.45㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东 南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
一梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
