id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,萧宏普罗旺斯,桐庐县,桐庐,,360,16667元/平米,2025-02-09,商品房,暂无数据,别墅,暂无数据,共有,"
                                有抵押
                              ",未上传房本照片,"
4室2厅1厨3卫
                                                  ","
低楼层 (共4层)
                                                  ","
216㎡
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
未知结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
",null,null,null
2,宇洋花苑,桐庐县,桐庐,,78,5616元/平米,2022-10-27,商品房,2019-06-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
4室2厅1厨2卫
                                                  ","
高楼层 (共6层)
                                                  ","
138.89㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
3,窄溪新苑A区,桐庐县,桐庐,,89,7179元/平米,2023-06-17,回迁房,2021-12-15,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
3室2厅1厨2卫
                                                  ","
高楼层 (共11层)
                                                  ","
123.98㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
4,飘鹰富春江花苑,桐庐县,桐庐,,192,15612元/平米,2022-01-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,"
3室2厅1厨2卫
                                                  ","
高楼层 (共18层)
                                                  ","
122.99㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
5,塔坞路26号,桐庐县,桐庐,,22,9735元/平米,2022-01-04,商品房,2021-01-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
1室0厅1厨1卫
                                                  ","
高楼层 (共4层)
                                                  ","
22.6㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
6,碧桂园十里春风,桐庐县,桐庐,,600,37288元/平米,2024-11-28,商品房,暂无数据,别墅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,"
5室2厅1厨5卫
                                                  ","
低楼层 (共3层)
                                                  ","
160.91㎡
                                                  ","
暂无数据
                                                  ","
南 西南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
双拼
                                                  ","
暂无数据
                                                        
",null,null,null
7,富春路,桐庐县,桐庐,,80,8093元/平米,2024-08-18,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,"
3室2厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
98.86㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
未知结构
                                                  ","
简装
                                                  ","
四梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,鑫鑫小区,桐庐县,桐庐,,48,7770元/平米,2025-03-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,"
2室1厅1厨1卫
                                                  ","
低楼层 (共3层)
                                                  ","
61.78㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
东南
                                                  ","
混合结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
9,天阳云栖梅林,桐庐县,桐庐,,280,21823元/平米,2022-09-12,商品房,2021-01-14,普通住宅,满两年,共有,"
                                有抵押 170万元 杭州 客户偿还
                              ",已上传房本照片,"
4室2厅1厨2卫
                                                  ","
低楼层 (共11层)
                                                  ","
128.31㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
毛坯
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,蓝色春江,桐庐县,桐庐,,135,9666元/平米,2023-05-05,商品房,2021-05-27,普通住宅,满两年,非共有,"
                                有抵押 170万元
                              ",已上传房本照片,"
3室2厅1厨2卫
                                                  ","
低楼层 (共18层)
                                                  ","
139.67㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
11,富欧罗兰公寓,桐庐县,桐庐,,130,10311元/平米,2023-07-14,商品房,2018-07-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
3室2厅1厨2卫
                                                  ","
高楼层 (共7层)
                                                  ","
126.09㎡
                                                  ","
错层
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
