id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,富春路,桐庐县,桐庐,,80,8860元/平米,2024-09-11,商品房,2022-12-06,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,"
3室1厅1厨1卫
                                                  ","
中楼层 (共4层)
                                                  ","
90.3㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
2,萧宏普罗旺斯,桐庐县,桐庐,,87,7119元/平米,2025-03-24,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,"
4室2厅1厨2卫
                                                  ","
高楼层 (共6层)
                                                  ","
122.21㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
3,建发天悦云庐,桐庐县,桐庐,,700,28767元/平米,2025-03-20,商品房,2023-02-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
5室2厅1厨3卫
                                                  ","
中楼层 (共5层)
                                                  ","
243.34㎡
                                                  ","
复式
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
东 东南
                                                  ","
未知结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
4,洋塘小区,桐庐县,桐庐,,40,6300元/平米,2023-03-20,商品房,2018-11-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
2室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
63.5㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
5,华鸿中南壹号院,桐庐县,桐庐,,228,20728元/平米,2024-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押
                              ",未上传房本照片,"
3室2厅1厨2卫
                                                  ","
高楼层 (共27层)
                                                  ","
110㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
东南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,宋都如意云庐,桐庐县,桐庐,,165,15804元/平米,2024-08-25,商品房,2022-09-23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
3室2厅1厨2卫
                                                  ","
低楼层 (共9层)
                                                  ","
104.41㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
7,尚洋雅苑,桐庐县,桐庐,,115,12922元/平米,2024-12-07,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,"
3室2厅1厨2卫
                                                  ","
高楼层 (共27层)
                                                  ","
89㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
8,君豪御园,桐庐县,桐庐,,46,5228元/平米,2024-11-27,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,"
2室1厅1厨1卫
                                                  ","
中楼层 (共17层)
                                                  ","
88㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
9,家景星城,桐庐县,桐庐,,109,9103元/平米,2021-06-27,商品房,2011-11-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
3室2厅1厨2卫
                                                  ","
中楼层 (共6层)
                                                  ","
119.75㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
10,美庐花园,桐庐县,桐庐,,50,3557元/平米,2024-04-16,商品房,2017-12-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
4室2厅1厨2卫
                                                  ","
高楼层 (共6层)
                                                  ","
140.58㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东南 南
                                                  ","
框架结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
11,君豪御园,桐庐县,桐庐,,50,5733元/平米,2021-10-30,商品房,2020-12-24,普通住宅,满两年,共有,"
                                有抵押 35万元
                              ",已上传房本照片,"
2室2厅1厨1卫
                                                  ","
低楼层 (共33层)
                                                  ","
87.22㎡
                                                  ","
平层
                                                  ","
67.79㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
一梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
12,颐居养生小镇,桐庐县,桐庐,,600,28955元/平米,2024-03-13,商品房,2021-11-03,别墅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,"
5室2厅1厨3卫
                                                  ","
低楼层 (共3层)
                                                  ","
207.22㎡
                                                  ","
暂无数据
                                                  ","
南 西
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
",null,null,null
13,乔林新城,桐庐县,桐庐,,130,7071元/平米,2025-03-26,商品房,2011-03-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
4室2厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
183.86㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
平房
                                                  ","
东南
                                                  ","
框架结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
14,广业影城嘉园,桐庐县,桐庐,,145,10619元/平米,2022-12-05,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,"
3室2厅1厨1卫
                                                  ","
低楼层 (共17层)
                                                  ","
136.56㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
15,家景星城,桐庐县,桐庐,,148,10792元/平米,2024-05-13,商品房,2015-03-13,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
4室2厅1厨2卫
                                                  ","
中楼层 (共5层)
                                                  ","
137.14㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
东南 南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
