id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,广泽小区,萧山区,南部卧城,,115,17630元/平米,2024-06-07,商品房,2018-07-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,250325ZD108275,"
2室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
65.23㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
2,晶典公寓,萧山区,南部卧城,,170,19672元/平米,2025-04-20,商品房,2011-10-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250423ZX374249,"
2室2厅1厨1卫
                                                  ","
低楼层 (共27层)
                                                  ","
86.42㎡
                                                  ","
平层
                                                  ","
64.32㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,顺发美哉美城,萧山区,钱江世纪城,,663,56764元/平米,2024-12-23,商品房,2017-10-18,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,250115ZD613127,"
5室1厅1厨2卫
                                                  ","
中楼层 (共14层)
                                                  ","
116.8㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
4,绿城桂冠东方,萧山区,钱江世纪城,近地铁6号线(杭富线) 丰北站,768,59494元/平米,2024-08-09,商品房,2024-08-09,普通住宅,未满两年,共有,"
                                有抵押 200万元 业主自还
                              ",已上传房本照片,240809QF960266,"
4室2厅1厨2卫
                                                  ","
中楼层 (共27层)
                                                  ","
129.09㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,林之语,萧山区,萧山科技城,,138,19040元/平米,2021-05-19,商品房,2017-03-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210522IJ689916,"
2室2厅1厨1卫
                                                  ","
高楼层 (共17层)
                                                  ","
72.48㎡
                                                  ","
平层
                                                  ","
59.23㎡
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
四梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,翡翠之星公寓,萧山区,萧山新城区,,510,56914元/平米,2022-05-06,商品房,2021-07-14,普通住宅,满两年,共有,"
                                有抵押 100万元
                              ",已上传房本照片,220506PF027616,"
3室2厅1厨2卫
                                                  ","
中楼层 (共8层)
                                                  ","
89.61㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
7,乐虹湾,萧山区,湘湖,近1号线(萧山国际机场-湘湖)湘湖站,330,38226元/平米,2025-03-24,商品房,2022-02-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,250107AM692413,"
3室2厅1厨2卫
                                                  ","
低楼层 (共31层)
                                                  ","
86.33㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,南江商业中心,萧山区,南部卧城,近地铁2号线曹家桥站,80,15519元/平米,2023-12-15,商品房,2022-07-05,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210912FB945439,"
1室1厅1厨1卫
                                                  ","
低楼层 (共25层)
                                                  ","
51.55㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
六梯四十一户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
9,朝闻花城,萧山区,南部卧城,近地铁2号线朝阳站,325,29916元/平米,2025-04-20,商品房,2024-12-03,普通住宅,未满两年,非共有,"
                                有抵押 180万元
                              ",已上传房本照片,250423ZO072956,"
4室2厅1厨2卫
                                                  ","
高楼层 (共18层)
                                                  ","
108.64㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,滨江江南之星,萧山区,萧山新城区,近地铁5号线博奥路站,399,45403元/平米,2025-03-25,商品房,2019-10-31,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,250325KS195358,"
3室2厅1厨2卫
                                                  ","
高楼层 (共34层)
                                                  ","
87.88㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
