id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,师苑新村,西湖区,文教,近地铁2号线下宁桥站,470,78360元/平米,2021-11-16,已购公房,2021-12-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211116RZ267961,"
3室1厅1厨1卫
                                                  ","
低楼层 (共4层)
                                                  ","
59.98㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
2,金地自在城鹭影轩,西湖区,三墩,近地铁4号线 池华街站,265,30032元/平米,2024-03-20,商品房,2014-08-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,221104OU469738,"
3室2厅1厨1卫
                                                  ","
低楼层 (共26层)
                                                  ","
88.24㎡
                                                  ","
平层
                                                  ","
69.72㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,坤和西溪里,西湖区,西溪,,560,64733元/平米,2022-05-06,商品房,2013-08-08,普通住宅,满五年,共有,"
                                有抵押 中国工商银行股份有限公司杭州高新之后
                              ",已上传房本照片,220507HG066464,"
2室1厅1厨1卫
                                                  ","
高楼层 (共14层)
                                                  ","
86.51㎡
                                                  ","
平层
                                                  ","
70.01㎡
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
框架结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
4,溪畔花园,西湖区,文教,近10号线翠柏路站,420,74800元/平米,2025-02-20,商品房,2025-02-21,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,180423517514,"
2室1厅1厨1卫
                                                  ","
低楼层 (共5层)
                                                  ","
56.15㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
5,师苑新村,西湖区,文教,近地铁2号线下宁桥站,500,64128元/平米,2021-09-07,已购公房,2000-09-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210907GU304646,"
3室1厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
77.97㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
6,滨江紫金府,西湖区,申花,近地铁2号线三坝站,718,61034元/平米,2024-03-21,商品房,2024-03-12,商住两用,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,240328ON371257,"
1室0厅1厨1卫
                                                  ","
低楼层 (共2层)
                                                  ","
117.64㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
北
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
","
未知
                                                  ","
未知
                                                  ","
3.1元/m3
                                                  "
7,雅戈尔御西湖,西湖区,文教,,780,89584元/平米,2024-05-14,商品房,2015-07-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,241218GL454721,"
2室2厅1厨1卫
                                                  ","
中楼层 (共26层)
                                                  ","
87.07㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,坤和求是里,西湖区,西溪,,400,44589元/平米,2023-06-20,商品房,2020-04-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,230621WU965467,"
3室2厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
89.71㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
9,金成花园,西湖区,文一西路,近地铁2号线丰潭路站,300,41506元/平米,2024-10-29,商品房,2009-06-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210301KV252025,"
2室1厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
72.28㎡
                                                  ","
平层
                                                  ","
64.14㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
10,桃花弄,西湖区,黄龙,近地铁2号线武林门站,330,55980元/平米,2024-09-05,已购公房,2024-10-26,普通住宅,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,200826YS045310,"
2室1厅1厨1卫
                                                  ","
中楼层 (共6层)
                                                  ","
58.95㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
11,圣苑小区,西湖区,申花,近地铁2号线三坝站,610,66161元/平米,2021-08-15,已购公房,2017-03-04,普通住宅,满五年,共有,"
                                有抵押 100万元
                              ",已上传房本照片,210815LQ588567,"
2室2厅1厨1卫
                                                  ","
中楼层 (共11层)
                                                  ","
92.2㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南
                                                  ","
框架结构
                                                  ","
简装
                                                  ","
一梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
12,中海紫藤苑,西湖区,三墩,近地铁4号线 池华街站,268,29835元/平米,2025-03-07,商品房,2018-08-20,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,170502529588,"
2室1厅1厨1卫
                                                  ","
低楼层 (共21层)
                                                  ","
89.83㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
13,下宁巷,西湖区,学军,近地铁2号线下宁桥站,500,75222元/平米,2023-12-12,已购公房,2017-11-02,普通住宅,满五年,共有,"
                                有抵押 带押过户，大概100多万，房东记不清了
                              ",已上传房本照片,170813197793,"
2室1厅1厨1卫
                                                  ","
高楼层 (共5层)
                                                  ","
66.47㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
14,都市阳光嘉苑,西湖区,良渚,,150,24280元/平米,2025-02-27,商品房,2018-02-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250227JC694313,"
2室2厅1厨1卫
                                                  ","
中楼层 (共18层)
                                                  ","
61.78㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
框架结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
15,沁雅花园,西湖区,文三西路,近地铁19号线 五联站,158,31312元/平米,2024-08-23,商品房,2017-02-07,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,170802935498,"
1室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
50.46㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
16,宝嘉誉府,西湖区,申花,,285,32012元/平米,2025-01-05,商品房,2019-04-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250109SI991410,"
3室2厅1厨2卫
                                                  ","
高楼层 (共19层)
                                                  ","
89.03㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯六户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
17,明珠公寓,西湖区,翠苑,近10号线文三路站,565,32639元/平米,2024-09-29,商品房,2024-09-29,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,241002BH606511,"
4室2厅1厨2卫
                                                  ","
高楼层 (共6层)
                                                  ","
173.11㎡
                                                  ","
跃层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
18,古墩彩虹轩,西湖区,良渚,近地铁2号线白洋站,330,37352元/平米,2025-01-11,商品房,2025-01-06,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,250223MV010129,"
3室2厅1厨2卫
                                                  ","
高楼层 (共27层)
                                                  ","
88.35㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
19,都市阳光嘉苑,西湖区,良渚,,135,21280元/平米,2024-10-01,商品房,2018-01-05,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,170821508591,"
2室1厅1厨1卫
                                                  ","
低楼层 (共18层)
                                                  ","
63.44㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
框架结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
20,紫金文苑,西湖区,申花,近地铁2号线三坝站,700,47857元/平米,2022-03-15,已购公房,2017-03-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,220309YV006868,"
3室2厅1厨2卫
                                                  ","
中楼层 (共11层)
                                                  ","
146.27㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
一梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
21,翠苑佳居,西湖区,翠苑,近10号线翠柏路站,300,34239元/平米,2023-04-04,商品房,2009-08-31,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,221104DQ409561,"
3室1厅1厨1卫
                                                  ","
中楼层 (共5层)
                                                  ","
87.62㎡
                                                  ","
平层
                                                  ","
79.85㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
22,贝利云栖中心,西湖区,转塘,近地铁6号线霞鸣街站,140,16306元/平米,2024-06-11,商品房,2024-04-17,商住两用,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,240611IB254727,"
4室2厅1厨2卫
                                                  ","
低楼层 (共16层)
                                                  ","
85.86㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
三梯十三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
民水
                                                  ","
民电
                                                  "
23,石灰桥新村,西湖区,文教,近地铁2号线下宁桥站,341,60036元/平米,2024-11-10,已购公房,2015-11-16,普通住宅,满五年,共有,"
                                有抵押 70万元 业主自还
                              ",已上传房本照片,241110RK694080,"
2室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
56.8㎡
                                                  ","
平层
                                                  ","
51.4㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
24,南都花园,西湖区,文一西路,近地铁2号线文新站,335,49520元/平米,2024-11-29,商品房,2019-08-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,241129GM996312,"
2室1厅1厨1卫
                                                  ","
高楼层 (共8层)
                                                  ","
67.65㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南 北
                                                  ","
混合结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
25,耀江文萃苑,西湖区,文教,,900,58998元/平米,2024-12-01,商品房,2004-08-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,241201VR288911,"
4室2厅2厨2卫
                                                  ","
中楼层 (共16层)
                                                  ","
152.55㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
26,名仕家园,西湖区,文一西路,近地铁2号线文新站,600,49185元/平米,2023-05-26,商品房,2023-09-20,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211124UL897685,"
3室2厅1厨2卫
                                                  ","
低楼层 (共6层)
                                                  ","
121.99㎡
                                                  ","
平层
                                                  ","
111.44㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
27,翠苑一区,西湖区,翠苑,近10号线翠柏路站,205,49138元/平米,2025-01-16,商品房,2020-10-28,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,200423638843,"
2室1厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
41.72㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
28,宝嘉誉府,西湖区,申花,,598,43409元/平米,2024-01-17,商品房,2019-01-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,240122IK068483,"
4室2厅1厨2卫
                                                  ","
中楼层 (共19层)
                                                  ","
137.76㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
29,万科坤和玉泉,西湖区,西溪,,350,42032元/平米,2022-05-30,商品房,2019-10-31,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,191226928239,"
3室1厅1厨1卫
                                                  ","
低楼层 (共7层)
                                                  ","
83.27㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
30,三墩景溪北苑,西湖区,良渚,近地铁2号线白洋站,150,25088元/平米,2023-03-28,商品房,2020-04-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,230330PC099486,"
2室1厅1厨1卫
                                                  ","
高楼层 (共34层)
                                                  ","
59.79㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯六户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
31,金地栖霞居,西湖区,三墩,近地铁4号线 池华街站,320,36000元/平米,2025-02-27,商品房,2014-10-13,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,240318FS677163,"
3室1厅1厨1卫
                                                  ","
低楼层 (共26层)
                                                  ","
88.89㎡
                                                  ","
平层
                                                  ","
70.42㎡
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
32,月桂花园,西湖区,文三西路,近地铁19号线 五联站,510,40275元/平米,2023-11-12,商品房,2014-10-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,231119JM678856,"
4室2厅1厨1卫
                                                  ","
中楼层 (共5层)
                                                  ","
126.63㎡
                                                  ","
平层
                                                  ","
110.68㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
33,坤和求是里,西湖区,西溪,,380,42563元/平米,2024-10-13,商品房,2018-02-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,241013DM898390,"
3室2厅1厨1卫
                                                  ","
中楼层 (共6层)
                                                  ","
89.28㎡
                                                  ","
平层
                                                  ","
76.79㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
34,翠苑逸景湾,西湖区,翠苑,近10号线翠柏路站,320,39668元/平米,2024-07-17,已购公房,2019-06-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,240716BC008555,"
2室2厅1厨1卫
                                                  ","
高楼层 (共27层)
                                                  ","
80.67㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
35,求是村,西湖区,黄龙,近3号线(星桥-吴山前村)黄龙体育中心站,470,66151元/平米,2024-06-18,商品房,2021-05-19,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,170711630991,"
2室1厅1厨1卫
                                                  ","
低楼层 (共24层)
                                                  ","
71.05㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南 西
                                                  ","
砖混结构
                                                  ","
简装
                                                  ","
一梯八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
36,都市阳光嘉苑,西湖区,良渚,,220,26481元/平米,2025-02-23,商品房,2021-07-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210519JP405910,"
3室1厅1厨1卫
                                                  ","
高楼层 (共18层)
                                                  ","
83.08㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
