id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,宝林西路,余杭区,老余杭,,168,23606元/平米,2023-06-26,商品房,2019-12-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,230629FI724191,"
2室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
71.17㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
2,绿城西溪融庄,余杭区,西溪,,700,49604元/平米,2022-09-15,商品房,2020-12-14,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,220909FS186191,"
4室2厅1厨2卫
                                                  ","
高楼层 (共7层)
                                                  ","
141.12㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,岸上蓝山,余杭区,闲林,,280,19521元/平米,2025-02-18,商品房,2019-07-03,普通住宅,满五年,共有,"
                                有抵押 10万元
                              ",已上传房本照片,250224TF094312,"
4室2厅1厨2卫
                                                  ","
中楼层 (共5层)
                                                  ","
143.44㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
4,杜诗苑,余杭区,良渚,近地铁2号线杜甫村站,113,13530元/平米,2025-04-10,回迁房,2025-04-08,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,250412ZN103988,"
2室2厅1厨2卫
                                                  ","
高楼层 (共20层)
                                                  ","
83.52㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
混合结构
                                                  ","
毛坯
                                                  ","
两梯五户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,亲亲家园二期,余杭区,三墩,近地铁2号线金家渡站,225,21392元/平米,2024-09-01,商品房,2007-09-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,240907MO526886,"
3室2厅1厨2卫
                                                  ","
中楼层 (共6层)
                                                  ","
105.18㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
6,杉杉恒和依山郡,余杭区,未来科技城,,59,10288元/平米,2023-07-16,商品房,2020-03-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,180714168426,"
1室1厅1厨1卫
                                                  ","
低楼层 (共11层)
                                                  ","
57.35㎡
                                                  ","
平层
                                                  ","
44.64㎡
                                                  ","
板楼
                                                  ","
西南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯六户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
7,溪悦宸府,余杭区,翡翠城,,207,23207元/平米,2023-12-13,商品房,2016-08-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,190416850339,"
2室2厅1厨1卫
                                                  ","
低楼层 (共14层)
                                                  ","
89.2㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,新湖果岭,余杭区,未来科技城,,195,22167元/平米,2025-04-20,商品房,2025-02-27,普通住宅,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,230908AT099812,"
3室2厅1厨1卫
                                                  ","
中楼层 (共32层)
                                                  ","
87.97㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
9,清水湾山水苑,余杭区,中泰,,95,12396元/平米,2025-04-13,商品房,2018-03-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,241109SG547914,"
2室1厅1厨1卫
                                                  ","
高楼层 (共31层)
                                                  ","
76.64㎡
                                                  ","
平层
                                                  ","
60.84㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,九衡公寓,余杭区,良渚,,435,26042元/平米,2024-12-20,商品房,2014-04-29,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,230224ZG053163,"
5室2厅1厨2卫
                                                  ","
中楼层 (共11层)
                                                  ","
167.04㎡
                                                  ","
平层
                                                  ","
138.76㎡
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
