,id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,用水类型,用电类型,燃气价格
63,64,中兴和园,滨江区,彩虹城,,228.0,26277元/平米,2024-07-07,商品房,2011-05-09,普通住宅,满五年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,240708FF001218,"
2室2厅1厨1卫
                                                  ","
低楼层 (共11层)
                                                  ","
86.77㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
808,64,中兴和园,滨江区,彩虹城,,228.0,26277元/平米,2024-07-07,商品房,2011-05-09,普通住宅,满五年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,240708FF001218,"
2室2厅1厨1卫
                                                  ","
低楼层 (共11层)
                                                  ","
86.77㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
16989,74,书韵名邸,余杭区,良渚,,242.0,22007元/平米,2025-02-11,商品房,2021-02-04,普通住宅,满两年,共有,"
                                有抵押 80万元
                              ",已上传房本照片,250212KK201852,"
3室2厅1厨2卫
                                                  ","
中楼层 (共8层)
                                                  ","
109.97㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
17439,74,书韵名邸,余杭区,良渚,,242.0,22007元/平米,2025-02-11,商品房,2021-02-04,普通住宅,满两年,共有,"
                                有抵押 80万元
                              ",已上传房本照片,250212KK201852,"
3室2厅1厨2卫
                                                  ","
中楼层 (共8层)
                                                  ","
109.97㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
80,81,超级星期天,滨江区,浦沿,,160.0,21760元/平米,2025-01-02,商品房,2006-01-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250103FM183099,"
2室1厅1厨1卫
                                                  ","
高楼层 (共14层)
                                                  ","
73.53㎡
                                                  ","
平层
                                                  ","
50.24㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
八梯一百三十八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
825,81,超级星期天,滨江区,浦沿,,160.0,21760元/平米,2025-01-02,商品房,2006-01-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,250103FM183099,"
2室1厅1厨1卫
                                                  ","
高楼层 (共14层)
                                                  ","
73.53㎡
                                                  ","
平层
                                                  ","
50.24㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
八梯一百三十八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
17007,92,昌运里二区,余杭区,万达广场,近地铁4号线储运路站,108.0,17740元/平米,2024-07-09,商品房,2024-07-08,普通住宅,未满两年,共有,"
                                有抵押 50万元 中国银行 业主自还
                              ",已上传房本照片,240709CQ151392,"
2室2厅1厨1卫
                                                  ","
中楼层 (共18层)
                                                  ","
60.88㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
17258,92,昌运里二区,余杭区,万达广场,近地铁4号线储运路站,108.0,17740元/平米,2024-07-09,商品房,2024-07-08,普通住宅,未满两年,共有,"
                                有抵押 50万元 中国银行 业主自还
                              ",已上传房本照片,240709CQ151392,"
2室2厅1厨1卫
                                                  ","
中楼层 (共18层)
                                                  ","
60.88㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
154,155,同人春江时代花园,滨江区,长河,近地铁6号线(杭富线)长河站,480.0,45615元/平米,2025-04-07,商品房,2015-05-29,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,200717TD560534,"
2室1厅1厨1卫
                                                  ","
低楼层 (共22层)
                                                  ","
105.23㎡
                                                  ","
平层
                                                  ","
81.28㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
899,155,同人春江时代花园,滨江区,长河,近地铁6号线(杭富线)长河站,480.0,45615元/平米,2025-04-07,商品房,2015-05-29,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,200717TD560534,"
2室1厅1厨1卫
                                                  ","
低楼层 (共22层)
                                                  ","
105.23㎡
                                                  ","
平层
                                                  ","
81.28㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
155,156,盛元慧谷,滨江区,彩虹城,,330.0,42216元/平米,2023-03-28,商品房,2018-11-09,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,180818685013,"
2室1厅1厨1卫
                                                  ","
低楼层 (共34层)
                                                  ","
78.17㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
",,,
