id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,天创园,富阳区,银湖科技城,近地铁6号线(杭富线)野生动物园东站,42,9008元/平米,2024-01-12,商品房,2017-07-03,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
1室1厅1厨1卫
                                                  ","
中楼层 (共15层)
                                                  ","
46.63㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯十九户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
未知
                                                  ","
未知
                                                  "
2,光明逸品春江,富阳区,鹿山新城,,198,20714元/平米,2023-04-20,商品房,2018-04-23,普通住宅,满五年,共有,"
                                有抵押 建设银行组合贷
                              ",已上传房本照片,230427LA790491,"
3室2厅1厨1卫
                                                  ","
低楼层 (共27层)
                                                  ","
95.59㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,中交保利江语云城,富阳区,江南新城,,200,17248元/平米,2024-06-16,商品房,2024-06-11,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,240616ZT042987,"
3室2厅1厨2卫
                                                  ","
高楼层 (共20层)
                                                  ","
115.96㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
框架结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
4,万星碧云天公寓,富阳区,富春,,140,15465元/平米,2023-02-14,商品房,2020-09-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,230215YF569795,"
2室2厅1厨1卫
                                                  ","
高楼层 (共18层)
                                                  ","
90.53㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯十户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,银湖宸语,富阳区,银湖科技城,,180,18024元/平米,2025-03-16,商品房,2023-09-21,普通住宅,未满两年,非共有,"
                                有抵押 120万元
                              ",已上传房本照片,250321JL412164,"
3室2厅1厨2卫
                                                  ","
高楼层 (共11层)
                                                  ","
99.87㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,云水湾,富阳区,银湖科技城,,122,11926元/平米,2024-02-26,商品房,2019-12-25,普通住宅,满五年,非共有,"
                                有抵押 35万元 建行
                              ",已上传房本照片,200609932586,"
3室2厅1厨2卫
                                                  ","
中楼层 (共6层)
                                                  ","
102.3㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
7,佳兆业德信云望璞园,富阳区,东洲,,155,15700元/平米,2023-02-19,商品房,2023-02-13,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,230220DW269510,"
3室2厅1厨2卫
                                                  ","
中楼层 (共18层)
                                                  ","
98.73㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东 南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,富春水岸,富阳区,江南新城,,46,13562元/平米,2024-12-27,商品房,2023-03-09,商住两用,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,180920655345,"
1室1厅1厨1卫
                                                  ","
中楼层 (共4层)
                                                  ","
33.92㎡
                                                  ","
跃层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯五十五户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
9,祥生银湖新语,富阳区,银湖科技城,,259,20759元/平米,2024-01-14,商品房,2022-03-23,普通住宅,满两年,非共有,"
                                有抵押 130万元
                              ",已上传房本照片,240115LL435722,"
4室2厅1厨2卫
                                                  ","
中楼层 (共10层)
                                                  ","
124.77㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,宋都怀石雅苑,富阳区,东洲,,245,19101元/平米,2022-04-29,商品房,2022-04-28,普通住宅,满两年,非共有,"
                                有抵押 0万元 0 业主自还
                              ",已上传房本照片,220501OM596129,"
4室2厅1厨2卫
                                                  ","
高楼层 (共8层)
                                                  ","
128.27㎡
                                                  ","
跃层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
框架结构
                                                  ","
毛坯
                                                  ","
一梯一户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
