id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,临安人家,临安区,临安,近16号线临安广场站,79,9507元/平米,2024-07-10,商品房,2019-05-09,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,"
2室2厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
83.1㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
2,锦绣钱塘,临安区,青山湖科技城,,738,27301元/平米,2025-01-20,商品房,2017-08-29,别墅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,"
5室2厅1厨3卫
                                                  ","
低楼层 (共2层)
                                                  ","
270.32㎡
                                                  ","
暂无数据
                                                  ","
东南
                                                  ","
混合结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
",null,null,null
3,中天珺府,临安区,青山湖科技城,,148,15914元/平米,2024-09-30,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押
                              ",未上传房本照片,"
3室2厅1厨2卫
                                                  ","
低楼层 (共18层)
                                                  ","
93㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
4,未来旭辉城,临安区,青山湖科技城,近16号线青山湖科技城站,178,19927元/平米,2024-11-09,商品房,2022-07-25,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
3室2厅1厨2卫
                                                  ","
高楼层 (共27层)
                                                  ","
89.33㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,桃李湖滨,临安区,临安,近16号线青山湖站,685,47438元/平米,2024-04-27,商品房,暂无数据,别墅,暂无数据,共有,"
                                有抵押
                              ",未上传房本照片,"
4室2厅1厨2卫
                                                  ","
高楼层 (共6层)
                                                  ","
144.4㎡
                                                  ","
暂无数据
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
",null,null,null
6,锦绣钱塘,临安区,青山湖科技城,,680,34550元/平米,2022-02-11,商品房,暂无数据,别墅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,"
4室2厅1厨4卫
                                                  ","
低楼层 (共2层)
                                                  ","
196.82㎡
                                                  ","
暂无数据
                                                  ","
东南 南
                                                  ","
框架结构
                                                  ","
毛坯
                                                  ","
独栋
                                                  ","
暂无数据
                                                        
",null,null,null
7,越秀星汇花园后湾,临安区,青山湖科技城,,130,14629元/平米,2025-02-10,商品房,2020-05-26,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
3室2厅1厨2卫
                                                  ","
中楼层 (共34层)
                                                  ","
88.87㎡
                                                  ","
平层
                                                  ","
71.88㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,银城青山湖畔,临安区,临安,,366,30534元/平米,2025-03-02,商品房,暂无数据,别墅,暂无数据,非共有,"
                                有抵押 300万元 业主自还
                              ",未上传房本照片,"
4室2厅1厨3卫
                                                  ","
低楼层 (共3层)
                                                  ","
119.87㎡
                                                  ","
暂无数据
                                                  ","
南
                                                  ","
未知结构
                                                  ","
毛坯
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
",null,null,null
9,溪悦十锦台公寓,临安区,临安,,260,18734元/平米,2023-04-11,商品房,2021-08-10,普通住宅,满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,"
4室2厅1厨2卫
                                                  ","
高楼层 (共17层)
                                                  ","
138.79㎡
                                                  ","
平层
                                                  ","
114.63㎡
                                                  ","
塔楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,芳泽锦安里,临安区,临安,,66,7395元/平米,2025-03-04,商品房,2023-02-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
3室2厅1厨1卫
                                                  ","
低楼层 (共23层)
                                                  ","
89.25㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
11,湖山云台苑,临安区,临安,,140,17159元/平米,2023-09-01,商品房,2021-09-01,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,"
3室1厅1厨1卫
                                                  ","
中楼层 (共32层)
                                                  ","
81.59㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
东 东南 南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
12,城中苑,临安区,临安,,138,8794元/平米,2024-09-28,商品房,2017-04-12,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,"
4室2厅1厨2卫
                                                  ","
中楼层 (共7层)
                                                  ","
156.94㎡
                                                  ","
错层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
13,广场花园,临安区,临安,,186,10926元/平米,2023-10-21,商品房,2019-05-30,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,"
4室2厅1厨1卫
                                                  ","
高楼层 (共7层)
                                                  ","
170.25㎡
                                                  ","
错层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
框架结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
