id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,广厦天都城天河苑,临平区,星桥,近3号线(星桥-吴山前村) 黄鹤山站,100,19471元/平米,2024-06-07,商品房,2021-05-06,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,230825KY511991,"
2室1厅1厨1卫
                                                  ","
中楼层 (共6层)
                                                  ","
51.36㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
西
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
2,广厦天都城天河苑,临平区,星桥,近3号线(星桥-吴山前村) 黄鹤山站,150,16608元/平米,2025-03-23,商品房,2018-05-07,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,180313732727,"
3室1厅1厨2卫
                                                  ","
中楼层 (共7层)
                                                  ","
90.32㎡
                                                  ","
跃层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
东
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
3,荣安翡翠半岛,临平区,崇贤,,235,26399元/平米,2024-04-22,商品房,2020-11-24,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,240507QE688916,"
3室2厅1厨2卫
                                                  ","
中楼层 (共31层)
                                                  ","
89.02㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
4,复地连城国际,临平区,乔司,近9号线乔司南站,130,19632元/平米,2022-10-06,商品房,2011-11-28,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,180423458943,"
1室1厅1厨1卫
                                                  ","
中楼层 (共16层)
                                                  ","
66.22㎡
                                                  ","
平层
                                                  ","
46.72㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,杭辰星万里,临平区,塘栖,,150,15750元/平米,2024-03-27,商品房,2023-02-16,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,231021ZM262542,"
3室2厅1厨2卫
                                                  ","
高楼层 (共28层)
                                                  ","
95.24㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,融创融耀之城,临平区,星桥,近3号线(星桥-吴山前村)星桥站,251,24625元/平米,2024-08-31,商品房,2023-10-09,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,240424LK172316,"
3室2厅1厨2卫
                                                  ","
高楼层 (共25层)
                                                  ","
101.93㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
7,金石华城,临平区,塘栖,,155,17528元/平米,2022-05-22,商品房,2013-12-18,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,220725TQ584126,"
2室2厅1厨1卫
                                                  ","
中楼层 (共11层)
                                                  ","
88.43㎡
                                                  ","
平层
                                                  ","
72.49㎡
                                                  ","
板塔结合
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
8,汀洲花苑北,临平区,东湖,近9号线 荷禹路站,159,13104元/平米,2024-09-25,商品房,2021-02-01,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,240926WL017135,"
3室2厅1厨2卫
                                                  ","
高楼层 (共13层)
                                                  ","
121.34㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东 东南 南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
9,龙王塘路90号,临平区,临平新城,近9号线 邱山大街站,130,14196元/平米,2023-09-04,商品房,1999-04-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200927EW634894,"
3室2厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
91.58㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
混合结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
10,运河玲珑香榭,临平区,东湖,,280,16182元/平米,2024-01-27,商品房,2010-01-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,230531AR727934,"
4室2厅1厨2卫
                                                  ","
中楼层 (共11层)
                                                  ","
173.04㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
11,广厦天都城温莎苑,临平区,星桥,近3号线(星桥-吴山前村) 黄鹤山站,185,20565元/平米,2025-02-26,商品房,2014-02-21,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,250226HC438383,"
3室2厅1厨1卫
                                                  ","
中楼层 (共11层)
                                                  ","
89.96㎡
                                                  ","
平层
                                                  ","
69.05㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
12,卓悦华庭（临平区）,临平区,星桥,近3号线(星桥-吴山前村) 华鹤街站,230,25687元/平米,2024-09-09,商品房,2019-12-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,241124TL406880,"
3室2厅1厨2卫
                                                  ","
低楼层 (共17层)
                                                  ","
89.54㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
毛坯
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
13,奥园华景川上锦宸府,临平区,塘栖,,158,17558元/平米,2024-06-13,商品房,2022-07-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,240219MW197314,"
3室2厅1厨2卫
                                                  ","
高楼层 (共8层)
                                                  ","
89.99㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
14,东湖公寓,临平区,临平新城,,117,17385元/平米,2023-04-11,商品房,2019-08-23,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,190625488740,"
2室1厅1厨1卫
                                                  ","
高楼层 (共6层)
                                                  ","
67.3㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南 北
                                                  ","
混合结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
15,环桥花苑二期,临平区,东湖,,206,16800元/平米,2024-03-12,商品房,2022-09-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,240312MX694648,"
3室2厅1厨2卫
                                                  ","
低楼层 (共17层)
                                                  ","
122.62㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
一梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
16,相寓,临平区,东湖,近9号线 荷禹路站,50,8951元/平米,2023-10-03,商品房,2020-04-10,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,240504OO287129,"
1室1厅1厨1卫
                                                  ","
中楼层 (共5层)
                                                  ","
55.86㎡
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
平房
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯二十一户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
17,佳兆业君汇上品,临平区,乔司,近9号线乔司南站,188,22692元/平米,2024-11-02,商品房,2017-01-07,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,241112DF891477,"
2室1厅1厨1卫
                                                  ","
中楼层 (共14层)
                                                  ","
82.85㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东北
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
18,海珀华庭,临平区,东湖,近9号线 荷禹路站,208,23791元/平米,2024-01-13,商品房,2014-05-09,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,231018FZ680785,"
3室2厅1厨1卫
                                                  ","
中楼层 (共28层)
                                                  ","
87.43㎡
                                                  ","
平层
                                                  ","
66.82㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
19,世纪嘉园晴彩巴厘,临平区,临平新城,,63,17275元/平米,2024-02-25,商品房,2020-03-09,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,191208533740,"
1室1厅1厨1卫
                                                  ","
高楼层 (共18层)
                                                  ","
36.47㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
塔楼
                                                  ","
东南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯八户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
20,旭辉贤君庭,临平区,崇贤,,100,18578元/平米,2025-03-11,商品房,2025-03-09,商住两用,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,250312YM906579,"
1室0厅0厨1卫
                                                  ","
低楼层 (共27层)
                                                  ","
53.83㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
平房
                                                  ","
北
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
","
未知
                                                  ","
未知
                                                  "
21,星雅嘉园逸景苑,临平区,星桥,,170,17129元/平米,2024-03-13,商品房,2015-04-27,普通住宅,满五年,非共有,"
                                有抵押 农行
                              ",已上传房本照片,240313VC889015,"
3室2厅1厨1卫
                                                  ","
高楼层 (共16层)
                                                  ","
99.25㎡
                                                  ","
平层
                                                  ","
79㎡
                                                  ","
板楼
                                                  ","
西南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
