id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,东海柠檬郡,钱塘区,工业园南,,200,24091元/平米,2023-02-16,商品房,2015-01-12,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,200726TD650060,"
2室1厅1厨1卫
                                                  ","
高楼层 (共29层)
                                                  ","
83.02㎡
                                                  ","
平层
                                                  ","
64.43㎡
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯五户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
2,世茂江滨花园峻景湾,钱塘区,沿江南,,188,21345元/平米,2023-11-26,商品房,2012-10-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,220213GC047154,"
2室2厅1厨1卫
                                                  ","
中楼层 (共33层)
                                                  ","
88.08㎡
                                                  ","
平层
                                                  ","
66.38㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,保利东湾,钱塘区,沿江南,,170,20052元/平米,2024-12-05,商品房,2015-10-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,230422OS135490,"
2室2厅1厨1卫
                                                  ","
低楼层 (共34层)
                                                  ","
84.78㎡
                                                  ","
平层
                                                  ","
64.27㎡
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
4,龙湖滟澜山茗轩南区三期,钱塘区,金沙湖,近1号线(萧山国际机场-湘湖)金沙湖站,338,38603元/平米,2024-05-29,商品房,2021-05-06,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,170518950851,"
3室2厅1厨1卫
                                                  ","
高楼层 (共21层)
                                                  ","
87.56㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,名城湖左岸,钱塘区,金沙湖,近1号线(萧山国际机场-湘湖)金沙湖站,330,36724元/平米,2025-02-13,商品房,2015-09-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,250213SA374839,"
3室2厅1厨2卫
                                                  ","
高楼层 (共31层)
                                                  ","
89.86㎡
                                                  ","
跃层
                                                  ","
63.63㎡
                                                  ","
平房
                                                  ","
南
                                                  ","
框架结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
6,宝龙云滨湾,钱塘区,高教园区东,近8号线工商大学云滨站,195,23623元/平米,2024-11-27,商品房,2016-08-26,普通住宅,满五年,共有,"
                                有抵押 95万元 浙商银行
                              ",已上传房本照片,241130ML110419,"
2室2厅1厨1卫
                                                  ","
高楼层 (共18层)
                                                  ","
82.55㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
7,东方水岚佳苑,钱塘区,工业园北,,168,19624元/平米,2022-06-23,商品房,2019-03-04,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,220624GZ145058,"
2室1厅1厨2卫
                                                  ","
高楼层 (共16层)
                                                  ","
85.61㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
8,宋都晨光国际,钱塘区,沿江南,近1号线(萧山国际机场-湘湖)下沙江滨站,230,25768元/平米,2023-11-13,商品房,2018-08-16,普通住宅,满五年,共有,"
                                有抵押 90万元
                              ",已上传房本照片,180503204313,"
3室2厅1厨1卫
                                                  ","
中楼层 (共33层)
                                                  ","
89.26㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南 北
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
两梯两户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
9,金隅观澜时代天筑,钱塘区,沿江南,,200,23502元/平米,2023-12-15,商品房,2018-11-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,221125OV664054,"
2室1厅1厨1卫
                                                  ","
低楼层 (共33层)
                                                  ","
85.1㎡
                                                  ","
跃层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,广宇锦上文澜,钱塘区,高教园区东,近8号线工商大学云滨站,275,30689元/平米,2025-03-20,商品房,2023-10-09,普通住宅,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,250323BU791036,"
3室2厅1厨2卫
                                                  ","
中楼层 (共26层)
                                                  ","
89.61㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
混合结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
